SBD,TONGDIEM,TOAN,VAN,NGOAI_NGU,SU,DIA,GDKT_PL,LI,HOA,SINH,TIN_HOC,GIAO_DUC_CONG_DAN,CN_CONG_NGHIEP,CN_NONG_NGHIEP,NGAY_SINH
01000001,29.5,5.75,7.75,,,,,,7.75,8.25,,,,,
01000002,31.5,8.0,8.25,,,,,8.5,6.75,,,,,,
01000003,24,6.75,8.5,,,,,8.75,,,,,,,
01000004,24.75,5.25,7.5,,,,,6.5,5.5,,,,,,
01000005,18.75,,7.0,,5.5,6.25,,,,,,,,,
01000006,27.25,6.5,8.5,,,,,7.25,5.0,,,,,,
01000007,27.95,6.35,8.0,,,,,,6.25,7.35,,,,,
01000008,14.25,,6.25,,4.0,4.0,,,,,,,,,
01000009,29.75,7.5,8.5,,,,,7.75,6.0,,,,,,
01000010,26,,8.75,,8.25,9.0,,,,,,,,,
01000011,27.85,6.35,9.0,,,,,,6.75,5.75,,,,,
01000012,31.6,9.0,9.25,,,,,,7.0,6.35,,,,,
01000013,30.75,7.0,8.25,,,,,8.0,7.5,,,,,,
01000014,22.6,3.85,7.75,,,,,,5.0,6.0,,,,,
01000015,25.6,6.5,7.75,,,,,6.35,5.0,,,,,,
01000016,24,4.5,7.0,,,,,7.0,5.5,,,,,,
01000017,24.5,6.0,6.25,,,,,7.25,5.0,,,,,,
01000018,28,7.25,7.25,,,,,7.5,6.0,,,,,,
01000019,30.85,6.35,8.0,,,,,8.25,8.25,,,,,,
01000020,25.25,5.0,7.75,,,,,6.5,6.0,,,,,,
01000021,34.5,8.5,8.5,,,,,,8.75,8.75,,,,,
01000022,30.5,7.5,8.75,,,,,,7.75,6.5,,,,,
01000023,31.75,7.75,8.0,,,,,10.0,6.0,,,,,,
01000024,22.6,,7.25,,6.85,8.5,,,,,,,,,
01000025,30.75,7.25,8.25,,,,,,8.5,6.75,,,,,
01000026,21.2,5.25,8.25,,,,,,3.95,3.75,,,,,
01000027,34,8.0,7.0,,,,,9.75,9.25,,,,,,
01000028,24.75,5.25,7.0,,,,,,5.75,6.75,,,,,
01000029,27.3,7.1,6.0,,,,,7.0,7.2,,,,,,
01000030,26.5,6.75,6.5,,,,,7.25,6.0,,,,,,
01000031,27.1,6.75,7.75,,,,,,5.5,7.1,,,,,
01000032,31,8.25,8.0,,,,,,7.25,7.5,,,,,
01000033,20.75,6.25,8.75,,,,,5.75,,,,,,,
01000034,29,7.5,8.25,,,,,6.75,6.5,,,,,,
01000035,31.25,7.25,7.25,,,,,8.75,8.0,,,,,,
01000036,31.25,7.25,8.25,,,,,7.75,8.0,,,,,,
01000037,27.25,,9.0,,8.5,9.75,,,,,,,,,
01000038,20.25,4.0,8.75,,7.5,,,,,,,,,,
01000039,28.75,6.75,7.0,,,,,8.5,6.5,,,,,,
01000040,30,7.0,7.0,,,,,9.25,6.75,,,,,,
01000041,20.85,5.6,9.0,,,,,6.25,,,,,,,
01000042,25.7,6.1,7.25,,,,,8.5,3.85,,,,,,
01000043,31.75,8.5,7.0,,,,,8.25,8.0,,,,,,
01000044,25.75,6.0,6.25,,,,,6.75,6.75,,,,,,
